iter	RMSE
0	39.03872129
1	39.03812564
2	39.03758872
3	39.0370559
4	39.03649711
5	39.03594378
6	39.03538634
7	39.03479337
8	39.03425231
9	39.03371397
10	39.0331565
11	39.03275069
12	39.03225606
13	39.03179422
14	39.03140616
15	39.03090331
16	39.03044692
17	39.02997002
18	39.02950269
19	39.02907497
20	39.02863769
21	39.02823867
22	39.02788883
23	39.0274283
24	39.0270033
25	39.02662202
26	39.02619155
27	39.0257515
28	39.02540984
29	39.02502718
30	39.02464862
31	39.02432336
32	39.02400355
33	39.02368238
34	39.02332294
35	39.0229512
36	39.02261225
37	39.0222323
38	39.02186601
39	39.02155575
40	39.02118399
41	39.02090517
42	39.02062497
43	39.0202614
44	39.01993337
45	39.01966137
46	39.01942764
47	39.01913787
48	39.01883853
49	39.01856789
50	39.01829861
51	39.01802524
52	39.01779423
53	39.01752769
54	39.0172625
55	39.01696041
56	39.0167376
57	39.0165271
58	39.01626874
59	39.01604593
60	39.01577117
61	39.01553195
62	39.0153023
63	39.01503984
64	39.01484025
65	39.01462017
66	39.01434266
67	39.01414034
68	39.01387514
69	39.01361814
70	39.01333379
71	39.01305354
72	39.01283618
73	39.01266666
74	39.01241922
75	39.01222783
76	39.01205421
77	39.0119298
78	39.01168099
79	39.01148549
80	39.01134331
81	39.0111273
82	39.01090719
83	39.01070212
84	39.01047928
85	39.01027284
86	39.01009374
87	39.00984491
88	39.00966308
89	39.00944706
90	39.00926112
91	39.00907382
92	39.00889471
93	39.0086992
94	39.00847498
95	39.00832185
96	39.00814137
97	39.00797457
98	39.00778315
99	39.00755209
100	39.00736751
101	39.00722395
102	39.0070462
103	39.00683974
104	39.00660594
105	39.00648288
106	39.00630787
107	39.00615883
108	39.00599612
109	39.00583751
110	39.00571445
111	39.00554354
112	39.00535211
113	39.00520307
114	39.00504856
115	39.0048667
116	39.00471493
117	39.00455632
118	39.00448248
119	39.00430882
120	39.00411055
121	39.00389451
122	39.0037605
123	39.0036347
124	39.00348429
125	39.00331473
126	39.0031274
127	39.00301664
128	39.00291408
129	39.00277323
130	39.00263102
131	39.00246693
132	39.00235617
133	39.00221259
134	39.00207994
135	39.00193089
136	39.00174492
137	39.0016027
138	39.00139485
139	39.0012581
140	39.00109127
141	39.00094084
142	39.00074392
143	39.00056752
144	39.00045128
145	39.00024342
146	39.00013265
147	39.00003692
148	38.99990564
149	38.9997347
150	38.99959248
151	38.99945846
152	38.99935999
153	38.9992082
154	38.99908375
155	38.99896067
156	38.99883349
157	38.99867075
158	38.99850937
159	38.99839176
160	38.9982509
161	38.99806628
162	38.99794319
163	38.99782695
164	38.99769019
165	38.99760129
166	38.99750009
167	38.99739752
168	38.99725119
169	38.99712673
170	38.99699681
171	38.99690928
172	38.99678619
173	38.99666858
174	38.99657421
175	38.99644018
176	38.99629111
177	38.99619947
178	38.99608733
179	38.99593688
180	38.99583978
181	38.99572079
182	38.99563736
183	38.99549102
184	38.99538981
185	38.99526946
186	38.99515594
187	38.99504652
188	38.99496309
189	38.99486188
190	38.99472785
191	38.9946198
192	38.99452816
193	38.99438592
194	38.99429018
195	38.99417256
196	38.99407271
197	38.99399885
198	38.99384567
199	38.99374035
200	38.99359947
201	38.99352151
202	38.99340936
203	38.99332319
204	38.99322745
205	38.99312076
206	38.99299629
207	38.9928773
208	38.99278703
209	38.99273095
210	38.99261879
211	38.99259007
212	38.99249706
213	38.9924232
214	38.99235617
215	38.99229326
216	38.99220435
217	38.99212091
218	38.99202517
219	38.99194447
220	38.99183641
221	38.99172288
222	38.99159704
223	38.99145342
224	38.99137272
225	38.99130023
226	38.99118806
227	38.99109368
228	38.99097605
229	38.99087073
230	38.99074762
231	38.99066965
232	38.99059442
233	38.99052876
234	38.9904508
235	38.99032222
236	38.99029623
237	38.99023057
238	38.99012798
239	38.9900719
240	38.98996931
241	38.98986945
242	38.9897313
243	38.98966154
244	38.98953843
245	38.98947277
246	38.98938112
247	38.98930725
248	38.98921971
249	38.98914994
250	38.98906513
251	38.98898716
252	38.9889174
253	38.98879702
254	38.98872042
255	38.98866023
256	38.98859184
257	38.98851113
258	38.98842768
259	38.98836476
260	38.98832372
261	38.98819514
262	38.98808981
263	38.98804193
264	38.98796532
265	38.98788051
266	38.9878039
267	38.98773824
268	38.98766027
269	38.98754263
270	38.98745097
271	38.98735932
272	38.98733059
273	38.98727861
274	38.98718559
275	38.98708846
276	38.98703101
277	38.98695577
278	38.98686274
279	38.98680392
280	38.98671363
281	38.98667259
282	38.98663429
283	38.98656589
284	38.98650023
285	38.98642088
286	38.98635796
287	38.98626493
288	38.98618559
289	38.98611719
290	38.98604879
291	38.98600364
292	38.98593798
293	38.98588873
294	38.98585863
295	38.98581759
296	38.98572593
297	38.98564522
298	38.98554946
299	38.98542907
300	38.98534289
301	38.98525533
302	38.98519377
303	38.98513221
304	38.98503234
305	38.98496804
306	38.98494479
307	38.98487912
308	38.98477515
309	38.98465476
310	38.98459046
311	38.98452342
312	38.9844345
313	38.98436747
314	38.98430043
315	38.98420603
316	38.98414994
317	38.98410343
318	38.98402545
319	38.98393926
320	38.9838859
321	38.98380518
322	38.98374499
323	38.98368616
324	38.98360407
325	38.98354388
326	38.98342212
327	38.98332088
328	38.983247
329	38.98320732
330	38.9831184
331	38.98304726
332	38.98300074
333	38.98292139
334	38.98285161
335	38.9827709
336	38.98270659
337	38.9826163
338	38.98256157
339	38.98246854
340	38.98237687
341	38.98234814
342	38.98229342
343	38.98217986
344	38.98210598
345	38.98207725
346	38.98198011
347	38.9819117
348	38.98183235
349	38.981727
350	38.98164902
351	38.98159566
352	38.98153683
353	38.98149031
354	38.9814219
355	38.98139043
356	38.98134802
357	38.98123446
358	38.98120983
359	38.98112227
360	38.98105933
361	38.98103607
362	38.98093483
363	38.9808842
364	38.9807939
365	38.9806995
366	38.98061741
367	38.9804929
368	38.98041354
369	38.98039712
370	38.98036429
371	38.98022883
372	38.98020694
373	38.98011254
374	38.98007149
375	38.98004276
376	38.97998256
377	38.97993604
378	38.97988678
379	38.97979921
380	38.97976638
381	38.97964323
382	38.97959945
383	38.9794982
384	38.97944621
385	38.97935043
386	38.97930117
387	38.97926697
388	38.97921634
389	38.97910825
390	38.97905352
391	38.97900153
392	38.9789769
393	38.97890028
394	38.97887975
395	38.97879902
396	38.9787224
397	38.97864304
398	38.97854179
399	38.97848295
400	38.97845422
401	38.97840222
402	38.97837349
403	38.97832423
404	38.97827224
405	38.97818877
406	38.97813951
407	38.97806015
408	38.9779849
409	38.97795616
410	38.97789459
411	38.97782481
412	38.9777605
413	38.97774134
414	38.97767566
415	38.97754704
416	38.97749094
417	38.97741705
418	38.97731443
419	38.97722686
420	38.97715433
421	38.97708865
422	38.97700108
423	38.97695593
424	38.97690804
425	38.9768273
426	38.97675615
427	38.97670415
428	38.97663847
429	38.97659605
430	38.97651806
431	38.97647975
432	38.97637986
433	38.9763347
434	38.97626081
435	38.97618829
436	38.97616092
437	38.97608976
438	38.97603503
439	38.97600082
440	38.97596114
441	38.97591188
442	38.97581335
443	38.97577641
444	38.97569841
445	38.97558484
446	38.97549315
447	38.97543295
448	38.97535495
449	38.97532484
450	38.975266
451	38.97523316
452	38.97515379
453	38.97508538
454	38.9750498
455	38.97497453
456	38.97491433
457	38.97487054
458	38.97482948
459	38.97473506
460	38.9747118
461	38.97463928
462	38.97459549
463	38.97457086
464	38.97450928
465	38.97444496
466	38.97432591
467	38.97429307
468	38.97428075
469	38.97423149
470	38.97420549
471	38.97417538
472	38.97412612
473	38.97407685
474	38.97400843
475	38.97397012
476	38.97389075
477	38.9738278
478	38.9737758
479	38.97372243
480	38.97369506
481	38.9736458
482	38.97361569
483	38.97358558
484	38.97350485
485	38.97343232
486	38.97340084
487	38.97335979
488	38.973342
489	38.97325305
490	38.97319284
491	38.97312168
492	38.97308062
493	38.97305325
494	38.97297936
495	38.97293146
496	38.97291641
497	38.97288904
498	38.97286167
499	38.97282472
500	38.97279051
501	38.97272072
502	38.97264271
503	38.9726044
504	38.97256608
505	38.9725305
506	38.97251681
507	38.97247028
508	38.97241418
509	38.97233891
510	38.97228143
511	38.97222532
512	38.97221574
513	38.97209942
514	38.97204742
515	38.97195983
516	38.97190783
517	38.97187225
518	38.97180793
519	38.97177098
